#Exported for mctoolsr
"#ASV_ID"	"Blank1"	"Blank2"	"p35m.-4C.0d"	"p35m.-4C.180d"	"p35m.-4C.30d"	"p35m.-4C.7d"	"p35m.12C.0d"	"p35m.12C.180d"	"p35m.12C.30d"	"p35m.12C.7d"	"p35m.4C.0d"	"p35m.4C.180d"	"p35m.4C.30d"	"p35m.4C.7d"	"p54m.-4C.0d"	"p54m.-4C.180d"	"p54m.-4C.30d"	"p54m.-4C.7d"	"p54m.12C.0d"	"p54m.12C.180d"	"p54m.12C.30d"	"p54m.12C.7d"	"p54m.4C.0d"	"p54m.4C.180d"	"p54m.4C.30d"	"p54m.4C.7d"	"p83m.-4C.0d"	"p83m.-4C.180d"	"p83m.-4C.30d"	"p83m.-4C.7d"	"p83m.12C.0d"	"p83m.12C.180d"	"p83m.12C.30d"	"p83m.12C.7d"	"p83m.4C.0d"	"p83m.4C.180d"	"p83m.4C.30d"	"p83m.4C.7d"	"pUS.12C.0d"	"pUS.12C.180d"	"pUS.12C.30d"	"pUS.12C.7d"	"taxonomy"
"ASV_1"	0	0	5431	11926	13389	7016	12855	18324	14422	5125	6148	21962	18890	7353	114475	97423	71936	123374	100450	23033	68787	88026	81700	44860	117085	81786	16693	14503	12625	11581	7271	3249	36911	8115	7449	30192	33831	9167	2004	565	731	585	"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 13;ASV_1"
"ASV_10"	0	0	1236	847	1398	949	975	101	760	578	689	110	1535	1386	75	485	298	0	0	32	0	0	0	0	432	129	599	598	68	508	247	13	487	680	345	27	462	534	9495	9650	5902	7321	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus;ASV_10"
"ASV_100"	0	0	272	460	474	242	642	46	424	373	283	49	248	282	0	0	0	0	0	0	0	0	0	0	0	0	243	979	99	472	194	25	213	383	63	45	635	652	0	0	0	0	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys;ASV_100"
"ASV_1000"	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	181	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Psychrobacillus;ASV_1000"
"ASV_10000"	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae;Desulfosporosinus;ASV_10000"
"ASV_10001"	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;ASV_10001"
"ASV_10002"	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;ASV_10002"
"ASV_10003"	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA;ASV_10003"
"ASV_10004"	0	0	0	0	0	0	16	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Patescibacteria;ABY1;Candidatus Uhrbacteria;NA;NA;ASV_10004"
"ASV_10005"	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys;ASV_10005"
"ASV_10006"	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;NA;ASV_10006"
"ASV_10007"	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;Aquicella;ASV_10007"
"ASV_10008"	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;NA;ASV_10008"
"ASV_10009"	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;NA;ASV_10009"
"ASV_1001"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	143	91	49	59	"Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA;ASV_1001"
"ASV_10010"	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Patescibacteria;Parcubacteria;NA;NA;NA;ASV_10010"
"ASV_10011"	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;NA;ASV_10011"
"ASV_10012"	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;NA;NA;ASV_10012"
"ASV_10013"	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Parachlamydiaceae;Neochlamydia;ASV_10013"
"ASV_10014"	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;ASV_10014"
"ASV_10015"	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;ASV_10015"
"ASV_10016"	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;Bacilli;Alicyclobacillales;Alicyclobacillaceae;Tumebacillus;ASV_10016"
